department,daily_tasks_completed,avg_task_time_hr,team_size,issues_reported
Operations,26,3.1342516224495176,13,1
IT,27,1.2743751860849313,9,1
IT,36,2.310105936838551,9,1
Operations,26,4.765889438424866,3,2
IT,38,3.981670515099797,9,1
Finance,70,1.0788610979589939,6,1
Operations,57,5.894938000873166,12,4
Operations,62,2.506389503880089,3,4
IT,48,4.78210583225818,6,3
IT,57,1.9269394294614675,4,1
IT,63,0.6265174911505256,3,1
IT,77,4.099240811440886,14,2
HR,54,5.830689842245384,11,4
Finance,53,4.344233482152966,12,0
IT,63,0.676298953910399,10,3
HR,17,0.5181236576880482,10,4
Operations,40,1.1727074197950642,6,2
IT,76,4.514407624384717,7,1
Operations,61,4.590058961856332,10,2
Finance,47,1.5312639071679122,9,0
Finance,75,5.96244918057705,5,0
IT,53,5.7481706930153305,11,2
Operations,21,3.7768635728330553,13,1
Operations,74,5.495514834032673,8,2
HR,25,4.418455160778327,5,3
Operations,74,4.798770350776676,4,1
IT,60,2.436376193301906,8,2
HR,50,1.820034168077964,13,1
HR,50,5.034862083903722,14,2
HR,79,2.059854820907695,3,0
Finance,59,2.4964043810442766,8,2
IT,56,1.980242103051164,3,2
IT,49,0.6434647786763763,4,1
IT,54,3.3491678721782354,4,1
IT,57,2.8068682212065204,11,0
Finance,77,4.629820085615953,10,1
Operations,40,1.6055041158919399,14,4
IT,11,3.538148733819666,8,3
Finance,33,3.8223255491582973,6,2
Finance,24,3.171521875531066,13,1
Operations,78,1.780954667495507,3,3
IT,35,0.9283022044087997,14,2
Finance,60,5.583753863982335,9,2
HR,28,0.9987087080085459,7,1
IT,78,2.974089938952376,6,2
IT,15,2.666555798487544,12,4
Finance,18,5.584922914150946,8,1
HR,77,3.5965318721340624,11,0
Finance,36,2.051000031341454,7,1
Finance,31,3.4856311418650536,7,0
Operations,46,2.6931793337318664,11,0
IT,14,3.5129969553435396,5,1
Finance,47,5.370050202586385,11,3
HR,73,4.164481431863875,11,4
IT,54,1.0491404677871297,13,4
Operations,29,4.405860067367351,4,3
HR,60,2.553806891006044,5,0
HR,21,1.3830367118918214,5,4
IT,10,4.343427986860995,6,2
Operations,10,0.5146996593190997,11,1
HR,56,1.415208827971585,3,0
Finance,18,3.4590864206958316,14,2
HR,29,3.2328144082892303,14,2
Operations,58,0.5966593370241793,10,2
Operations,34,3.2425733852860548,12,3
Finance,73,2.2271067300624585,5,1
IT,40,4.8826288264439865,3,2
HR,28,4.983317263485281,7,1
IT,58,1.9438838548719544,5,2
IT,70,3.4739238948706026,13,2
IT,65,0.5000804021301899,6,4
Operations,55,4.951232874551947,8,2
IT,41,0.7502942188638991,3,1
Finance,33,1.9096495415815462,8,3
HR,25,2.4558245859192445,14,0
IT,69,5.741902987320253,12,0
IT,40,5.012761002382088,4,3
IT,17,4.90488733145612,9,4
Operations,76,0.5829902603187361,8,4
IT,52,4.738091792481217,6,1
HR,34,4.707757990363496,8,0
Finance,68,3.045467219368813,3,0
IT,73,2.6671435471943106,14,3
HR,22,5.381973987093502,9,0
Operations,63,1.690488070132314,13,1
IT,68,3.4155275311895346,13,1
IT,14,5.302705798242837,7,2
Operations,11,1.1977071394324583,12,3
Operations,26,3.4889955546519573,5,0
HR,53,4.633312765469814,9,0
Finance,18,1.964737623512669,10,3
Operations,61,4.167106184784733,10,3
IT,79,1.657776032885737,14,4
Finance,59,2.053534189326544,11,4
IT,74,2.4059817484306163,14,0
HR,42,5.0854953801097205,4,3
Operations,66,2.501197748872672,5,3
HR,27,0.9328475930274422,13,4
Operations,20,5.208217694720523,7,0
Finance,35,3.3557142286586163,5,2
Finance,57,2.4155944916152623,4,2
IT,60,5.244160007037722,3,3
Operations,50,3.653844126495164,11,0
Operations,72,5.8228854685681375,5,3
IT,27,3.632471911293422,12,2
IT,23,2.6090514925826587,11,0
Finance,77,2.1914076265618796,8,0
Operations,69,2.600784019053079,9,1
HR,20,3.060684579298022,12,4
IT,40,2.3445209562916256,8,0
Operations,16,4.7073913036103905,3,2
Operations,20,1.3837605989525872,12,3
IT,13,5.615303937972175,10,4
HR,15,1.7505701614410023,8,3
IT,41,4.359055219636415,11,1
IT,58,5.991664330176737,11,4
Finance,30,2.030630233647647,6,1
Finance,27,4.640453895994125,5,4
IT,44,1.5439426181068092,9,4
IT,34,1.7675346850726883,11,1
Operations,15,3.8264916383742498,3,0
HR,51,2.0996522801203668,5,0
HR,25,5.730087571242544,12,0
HR,69,5.81649617828676,13,3
Operations,65,2.5264759379174313,13,2
IT,48,2.7246605011552627,13,0
HR,45,4.4443075480064715,14,3
Operations,45,3.594329883558218,5,4
Operations,12,4.614710622173727,12,3
Operations,36,1.635932453651812,11,3
HR,31,1.7543330977731966,7,3
Finance,13,1.7096926268315769,13,1
HR,46,1.4036920323216515,11,3
Finance,54,2.492021893650588,9,1
Operations,74,1.2571071989895888,11,2
Operations,79,3.727428275279493,13,0
IT,40,5.723590409697274,5,2
Operations,37,3.5151719574178095,14,4
Finance,12,4.643205333787175,14,4
IT,29,2.435585201422021,10,4
HR,48,3.6501996250239,9,4
Operations,42,4.215114215922815,13,1
HR,58,4.996875569326513,14,1
Finance,67,3.997120636234404,12,4
IT,65,4.441947790303253,3,1
Operations,79,4.958225257827249,7,3
HR,76,4.871966322217448,14,1
HR,10,5.3970234298485975,6,1
Operations,67,1.7851433821769118,6,0
Operations,73,1.8268999904958552,12,1
Finance,56,2.439386951642819,7,1
Finance,52,2.9994203890177404,8,4
Finance,65,4.41334810200034,4,2
Finance,64,1.2049177216615017,12,2
HR,57,1.7586185616581114,5,3
Operations,14,3.7146144686458116,10,4
Finance,52,1.0248883172545398,8,3
Finance,59,5.500140030333693,8,3
Operations,63,3.968893892437882,4,4
Operations,34,2.193354512247052,12,3
